symbol,error,name,sector,market_cap_cr,current_price,high_52w,low_52w,pe_ratio,book_value,dividend_yield,roce,roe,face_value,price_to_book,promoter_holding,fii_holding,dii_holding,government_holding,public_holding,sales_growth_5y,sales_growth_3y,sales_growth_ttm,profit_growth_5y,profit_growth_3y,profit_growth_ttm,price_cagr_5y,price_cagr_3y,operating_margin,roce_latest,price_cagr_10y,roe_latest,sales_growth_10y,profit_growth_10y,passed_filters,quality_score,growth_score,health_score,promoter_score,valuation_score,composite_score,multibagger_score,rationale,technical_error,current_price_yf,rsi_14,ma_50,ma_200,pct_from_200ma,pct_from_52w_high,technical_score,supertrend_daily_signal,supertrend_daily_days,supertrend_weekly_signal,supertrend_weekly_weeks
EMMVEE,,Emmvee Photovoltaic Power Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,23730.0,343.0,372.0,172.0,18.7,53.4,0.0,44.8,51.1,2.0,6.42,80.03,2.92,9.8,0.0,7.24,64.0,101.0,84.0,158.0,395.0,141.0,,,35.0,45.0,,,,,True,2.195347512627966,3.0,0.0,0.719045196087246,0.5712541732961095,1.4235864505310878,10.0,"Solid growth (5y sales 64%, 5y profit 158%); strong profitability (ROE 51%, ROCE 45%). Balance sheet worth monitoring.",,342.65,63.4,328.19,262.65,30.5,6.2,6.0,SELL,37,BUY,22
HBLENGINE,,HBL Engineering Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,19949.0,721.0,1122.0,603.0,24.9,79.9,0.42,58.4,45.3,1.0,9.02,59.11,5.62,0.97,,34.28,29.0,34.0,63.0,118.0,105.0,134.0,72.0,39.0,32.0,58.0,36.0,,10.0,49.0,True,2.3091415980934396,2.486158924038325,0.0,0.020858818637945174,0.08866235430100819,1.2019693224614894,9.9,"Solid growth (5y sales 29%, 5y profit 118%); strong profitability (ROE 45%, ROCE 58%). Balance sheet worth monitoring.",,720.9,57.1,714.68,764.34,-5.7,34.4,7.0,BUY,3,BUY,19
IEX,,Indian Energy Exchange Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,10387.0,117.0,160.0,114.0,20.5,15.3,3.0,51.4,39.4,1.0,7.65,,12.63,31.47,,55.63,14.0,15.0,14.0,20.0,19.0,12.0,-10.0,-6.0,85.0,51.0,,,,,True,3.0,-0.36953601984430184,0.0,0.0,0.3740181901545252,0.863494615046592,9.8,"Strong profitability (ROE 39%, ROCE 51%); reasonable valuation (P/E 20, P/B 7.7). Growth is modest — more of a compounder.",,116.63,32.2,123.45,127.68,-8.7,24.6,7.5,SELL,17,SELL,60
IGIL,,International Gemological Institute Limited,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,13825.0,320.0,392.0,287.0,22.7,34.4,0.78,69.2,55.8,2.0,9.3,76.55,9.49,5.51,,8.44,,48.0,22.0,,43.0,24.0,,,61.0,69.0,,,,,True,3.0,0.8086753211732383,0.0,0.6029032939111673,0.11531824319123998,1.1637023826404467,9.8,"Strong profitability (ROE 56%, ROCE 69%); solid growth. Balance sheet worth monitoring.",,311.2,27.7,342.98,337.86,-7.9,19.4,6.5,SELL,7,BUY,22
TRAVELFOOD,,Travel Food Services Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,16925.0,1285.0,1471.0,1035.0,35.6,110.0,0.78,42.4,35.3,1.0,11.68,86.19,1.65,10.02,,2.15,59.0,16.0,4.0,54.0,23.0,19.0,,,39.0,42.0,,,13.0,28.0,True,2.031501930328316,0.39571967159035976,0.0,0.9246297125828336,-0.5245257256100977,0.7748363977429821,9.7,"Strong profitability (ROE 35%, ROCE 42%); strong promoter alignment (promoter 86%). Valuation looks stretched.",,1285.9,44.3,1317.08,1242.15,3.5,10.0,8.5,SELL,8,BUY,24
BLS,,BLS International Services Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,9704.0,236.0,374.0,218.0,13.8,59.8,1.06,29.3,32.7,1.0,3.95,70.39,4.14,3.1,,22.33,44.0,26.0,32.0,69.0,50.0,25.0,31.0,-7.0,27.0,29.0,24.0,,20.0,36.0,True,1.064196531618628,1.37262140097977,0.0,0.3973187774155797,1.0025722610210561,0.753638282395985,9.6,"Solid growth (5y sales 44%, 5y profit 69%); strong profitability (ROE 33%, ROCE 29%). Balance sheet worth monitoring.",,235.63,38.7,246.05,272.32,-13.5,36.3,5.5,SELL,14,SELL,83
BLUEJET,,Blue Jet Healthcare Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,10883.0,575.0,725.0,325.0,77.2,,0.21,57.3,52.1,2.0,,73.15,0.63,9.11,,17.11,,,-7.0,,,-3.0,,,41.0,57.0,,,,,True,2.562075632897163,-0.5775051600747317,0.0,0.4894313205207458,-1.1872134099730318,0.6078150149350112,9.5,"Strong profitability (ROE 52%, ROCE 57%); strong promoter alignment (promoter 73%). Valuation looks stretched.",,575.3,46.2,586.86,488.92,17.7,19.8,10.0,BUY,79,BUY,19
ANANDRATHI,,Anand Rathi Wealth Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,36496.0,2198.0,2255.0,1354.0,78.5,60.1,0.3,59.2,47.3,5.0,36.57,41.37,6.37,10.4,0.0,41.86,36.0,31.0,23.0,55.0,33.0,45.0,,85.0,39.0,59.0,,,,,True,2.5058680696074465,1.0646053083920581,0.0,-0.5711978895814908,-2.7228572305957783,0.6067160760638441,9.4,"Strong profitability (ROE 47%, ROCE 59%); solid growth (5y sales 36%, 5y profit 55%). Valuation looks stretched.",,2202.5,58.6,2122.64,1753.82,25.6,1.2,6.0,BUY,113,BUY,63
IKS,,Inventurus Knowledge Solutions Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,30556.0,1780.0,1934.0,1262.0,40.0,163.0,0.0,31.5,31.4,1.0,10.92,63.72,8.01,7.5,,18.55,42.0,46.0,21.0,34.0,30.0,41.0,,,34.0,32.0,,,,,True,1.2737704461702841,1.1271848464816303,0.0,0.17471346491142875,-0.5537914870099343,0.5783959741831322,9.4,"Strong profitability (ROE 31%, ROCE 32%); solid growth (5y sales 42%, 5y profit 34%). Valuation looks stretched.",,1783.7,50.8,1813.05,1646.85,8.3,7.5,9.0,SELL,25,BUY,20
IRCTC,,Indian Railway Catering & Tourism Corporation Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,37408.0,468.0,739.0,467.0,27.1,53.9,1.91,46.1,34.4,2.0,8.68,62.4,3.91,14.86,,18.85,,14.0,15.0,,12.0,6.0,-7.0,-13.0,31.0,46.0,,,,,True,1.897139088559566,-0.26066806603383846,0.0,0.13065963994808855,0.06922027032496429,0.5435290863858118,9.3,"Strong profitability (ROE 34%, ROCE 46%); strong promoter alignment (promoter 62%). Growth is modest — more of a compounder.",,467.75,30.7,495.69,561.95,-16.8,36.5,5.5,SELL,19,SELL,110
