symbol,error,name,sector,market_cap_cr,current_price,high_52w,low_52w,pe_ratio,book_value,dividend_yield,roce,roe,face_value,price_to_book,promoter_holding,fii_holding,dii_holding,government_holding,public_holding,sales_growth_5y,sales_growth_3y,sales_growth_ttm,profit_growth_5y,profit_growth_3y,profit_growth_ttm,price_cagr_5y,price_cagr_3y,operating_margin,roce_latest,price_cagr_10y,roe_latest,sales_growth_10y,profit_growth_10y,passed_filters,quality_score,growth_score,health_score,promoter_score,valuation_score,composite_score,multibagger_score,rationale
EMMVEE,,Emmvee Photovoltaic Power Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,22408.0,324.0,372.0,172.0,17.6,53.4,0.0,44.8,51.1,2.0,6.07,80.03,2.92,9.8,0.0,7.24,64.0,101.0,84.0,158.0,395.0,141.0,,,35.0,45.0,,,,,True,2.2553022468036628,3.0,0.0,0.7347131487155774,0.6756984661524047,1.4543674929636763,10.0,"Solid growth (5y sales 64%, 5y profit 158%); strong profitability (ROE 51%, ROCE 45%). Balance sheet worth monitoring."
HBLENGINE,,HBL Engineering Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,19226.0,693.0,1122.0,603.0,24.0,79.9,0.43,58.4,45.3,1.0,8.67,59.11,5.62,0.97,,34.28,29.0,34.0,63.0,118.0,105.0,134.0,69.0,44.0,32.0,58.0,35.0,,10.0,49.0,True,2.3533046835353595,2.438418993659787,0.0,0.07163294720005191,0.15826325038331537,1.2202464709109047,9.9,"Solid growth (5y sales 29%, 5y profit 118%); strong profitability (ROE 45%, ROCE 58%). Balance sheet worth monitoring."
IEX,,Indian Energy Exchange Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,11151.0,126.0,160.0,114.0,22.0,15.3,2.79,51.4,39.4,1.0,8.24,,12.63,31.47,,55.63,14.0,15.0,14.0,20.0,19.0,12.0,-2.0,0.0,85.0,51.0,,,,,True,3.0,-0.3903670375925001,0.0,0.0,0.26986608239857374,0.8489132007213572,9.8,"Strong profitability (ROE 39%, ROCE 51%); reasonable valuation (P/E 22, P/B 8.2). Growth is modest — more of a compounder."
IGIL,,International Gemological Institute Limited,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,14896.0,345.0,392.0,287.0,24.4,34.4,0.72,69.2,55.8,2.0,10.03,76.55,9.49,5.51,,8.44,,48.0,22.0,,43.0,24.0,,,61.0,69.0,,,,,True,3.0,0.7548076202467137,0.0,0.6244110884252316,-0.0309119233154998,1.1415319949815774,9.8,"Strong profitability (ROE 56%, ROCE 69%); solid growth. Valuation looks stretched."
TRAVELFOOD,,Travel Food Services Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,18358.0,1394.0,1471.0,1035.0,41.6,110.0,0.0,42.4,35.3,1.0,12.67,86.19,1.65,10.02,,2.15,59.0,16.0,-2.0,54.0,23.0,22.0,,,39.0,42.0,,,13.0,28.0,True,2.1481995379202985,0.2844274631476765,0.0,0.9299604738272234,-0.8521309925251224,0.7556263258271962,9.7,"Strong profitability (ROE 35%, ROCE 42%); strong promoter alignment (promoter 86%). Valuation looks stretched."
BLS,,BLS International Services Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,11140.0,271.0,393.0,218.0,15.8,59.8,0.74,29.3,32.7,1.0,4.53,70.39,4.14,3.1,,22.33,44.0,26.0,32.0,69.0,50.0,25.0,47.0,3.0,27.0,29.0,,,20.0,36.0,True,1.1257571961740316,1.2881450975102033,0.0,0.4291637633135857,0.9271483636411886,0.7524455792154068,9.6,"Solid growth (5y sales 44%, 5y profit 69%); strong profitability (ROE 33%, ROCE 29%). Balance sheet worth monitoring."
IKS,,Inventurus Knowledge Solutions Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,30580.0,1782.0,1934.0,1262.0,40.0,131.0,0.0,36.9,40.3,1.0,13.6,63.72,8.01,7.5,,18.55,42.0,46.0,21.0,34.0,30.0,41.0,,,34.0,,,,,,True,1.927157139217034,1.077064316441087,0.0,0.2177514810904234,-0.9297033342086791,0.7332523937960231,9.5,"Strong profitability (ROE 40%, ROCE 37%); solid growth (5y sales 42%, 5y profit 34%). Valuation looks stretched."
ANANDRATHI,,Anand Rathi Wealth Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,36512.0,2199.0,2230.0,1334.0,78.6,60.1,0.3,59.2,47.3,5.0,36.59,41.37,6.37,10.4,0.0,41.86,36.0,31.0,23.0,55.0,33.0,45.0,,84.0,39.0,59.0,,,,,True,2.5781349366942243,0.9932207066018099,0.0,-0.49065399232601986,-2.7135305057796115,0.627133472901765,9.4,"Strong profitability (ROE 47%, ROCE 59%); solid growth (5y sales 36%, 5y profit 55%). Valuation looks stretched."
BLUEJET,,Blue Jet Healthcare Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,11257.0,595.0,802.0,325.0,79.9,,0.2,57.3,52.1,2.0,,73.15,0.63,9.11,,17.11,,,-7.0,,,-3.0,,,41.0,57.0,,,,,True,2.6423721518824714,-0.5907304690840768,0.0,0.5166447076817909,-1.2494664888664793,0.6271156090135467,9.3,"Strong profitability (ROE 52%, ROCE 57%); strong promoter alignment (promoter 73%). Valuation looks stretched."
CHALET,,Chalet Hotels Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,18042.0,824.0,1079.0,690.0,33.7,169.0,0.12,17.1,19.2,10.0,4.88,67.29,4.26,24.99,,3.45,58.0,35.0,6.0,47.0,60.0,88.0,37.0,19.0,45.0,17.0,,,17.0,23.0,True,0.487935180367394,1.4515609832223733,0.0,0.33090618087103674,0.38649834177042597,0.5249785120623909,9.2,"Solid growth (5y sales 58%, 5y profit 47%); strong profitability (ROE 19%, ROCE 17%). Balance sheet worth monitoring."
