symbol,technical_error,current_price_yf,rsi_14,ma_50,ma_200,pct_from_200ma,pct_from_52w_high,technical_score,supertrend_daily_signal,supertrend_daily_days,supertrend_weekly_signal,supertrend_weekly_weeks
EMMVEE,,323.65,49.0,332.57,,,11.4,8.5,SELL,17,BUY,18
HBLENGINE,,678.5,33.4,757.33,792.11,-14.3,38.3,5.5,SELL,28,BUY,15
IGIL,,345.1,45.7,353.08,338.25,2.0,10.7,9.5,BUY,9,BUY,18
IEX,,124.75,46.2,124.2,129.47,-3.6,19.4,8.0,BUY,22,SELL,56
TRAVELFOOD,,1364.9,55.2,1316.47,1242.45,9.9,4.5,7.5,BUY,59,BUY,20
BLS,,278.12,75.5,250.71,279.17,-0.4,27.5,3.0,BUY,10,SELL,79
IKS,,1781.5,47.9,1777.66,1630.5,9.3,7.6,9.0,SELL,5,BUY,16
BLUEJET,,584.5,51.3,558.85,489.69,19.4,26.2,9.0,BUY,60,BUY,15
ANANDRATHI,,2198.8,74.1,1990.58,1690.28,30.1,0.0,2.0,BUY,94,BUY,59
FORCEMOT,,18361.0,51.2,18153.46,19581.37,-6.2,28.8,7.0,BUY,7,SELL,11
IRCTC,,497.5,43.1,507.87,582.43,-14.6,32.5,6.0,SELL,1,SELL,106
CHALET,,825.1,48.5,816.61,826.27,-0.1,22.5,8.0,SELL,12,BUY,5
ABSLAMC,,1026.4,45.2,1093.8,933.44,10.0,14.4,10.0,SELL,18,BUY,27
NUVAMA,,1670.1,40.0,1771.48,1480.49,12.8,15.7,10.0,SELL,14,BUY,15
TENNIND,,538.25,41.8,567.76,,,17.4,8.5,BUY,8,BUY,16
CEMPRO,,1237.0,36.0,1351.14,888.85,39.2,24.6,8.0,SELL,15,SELL,2
ACUTAAS,,3110.6,39.0,3333.45,2413.46,28.9,15.8,8.0,SELL,15,BUY,114
ECLERX,,1897.0,59.1,1638.42,1837.07,3.3,23.3,9.5,BUY,31,BUY,5
GODFRYPHLP,,2160.0,46.8,2186.39,2326.46,-7.2,41.8,6.0,BUY,9,SELL,33
